path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135
Fries-Train (101).jpeg,0.016969621700939925,0.46240402113609425,7.482535763278122,715816961.0000912,5592321.000000805,0.016969621700939925,0.9815218263492114,0.01463159941367588,0.42922118597948516,7.6245709134928275,715816960.9999479,5592320.99999958,0.01463159941367588,0.9724934855869279,0.018178177418251392,0.5094780389715573,7.245541746850562,715816961.0000995,5592320.999998864,0.018178177418251392,0.9848009336465819,0.01473521630486702,0.43050891999663726,7.641311794803915,715816961.0002685,5592320.99999962,0.01473521630486702,0.9712390679615294
Fries-Train (102).jpeg,0.0004194019198625747,0.3097545954859421,9.18383774601941,715816960.9999164,5592320.999999816,0.0004194019198625747,0.9431527007615725,0.00028539166991158656,0.24503271705577073,9.485149113998379,715816960.9998156,5592320.999999464,0.00028539166991158656,0.9112382420756635,0.0004697218083846011,0.3137721550434144,9.143932507384072,715816960.9999039,5592320.999998673,0.0004697218083846011,0.9543891272855005,0.0002765680262177878,0.23707131285437516,9.526802118756173,715816960.9998167,5592321.000000598,0.0002765680262177878,0.9083714771682257
Fries-Train (103).jpeg,0.0017431424670281024,0.4830562148319109,8.027714689670239,715816961.0000968,5592321.000000474,0.0017431424670281024,0.9918499530906397,0.0011335510103832797,0.3676826203454608,8.590979353054736,715816961.0001526,5592321.000001018,0.0011335510103832797,0.9761942369488558,0.0015424077251875226,0.4235637037629425,8.316193714135387,715816960.9999543,5592321.000001016,0.0015424077251875226,0.9869125147458451,0.0012453770165110991,0.39789213689165187,8.376248378911143,715816961.0001211,5592321.0000014305,0.0012453770165110991,0.9863653428908731
Fries-Train (104).jpeg,0.0006289955137802203,0.3461387571766295,8.68226093375403,715816960.9999163,5592320.999998394,0.0006289955137802203,0.9389255417740362,0.00034594115087074905,0.24784066874592534,9.058602372515452,715816961.0000648,5592320.99999847,0.00034594115087074905,0.9008943726551795,0.00045545189403311403,0.2945006689483071,8.845944533535853,715816961.0001514,5592321.000001871,0.00045545189403311403,0.9357116332256146,0.0003218245342514125,0.2372616308329364,9.111330815511147,715816961.000068,5592320.999998636,0.0003218245342514125,0.8930898247966454
Fries-Train (105).jpeg,0.004473764331722871,0.5788183479324265,7.302762833258487,715816960.9999676,5592320.999999225,0.004473764331722871,0.9826918163483717,0.0031033878587805124,0.507024929921824,7.631065514999429,715816961.000019,5592321.000000987,0.0031033878587805124,0.9790652352992237,0.004163988038311216,0.550396251981603,7.460238009555114,715816961.000093,5592320.999999168,0.004163988038311216,0.9760920552878479,0.002950821042836375,0.49035967306071043,7.698752696928253,715816961.0000376,5592321.000000393,0.002950821042836375,0.9583937065354184
Fries-Train (106).jpeg,0.0006685701174854628,0.35542106158395914,8.847662399360809,715816960.9998964,5592321.00000002,0.0006685701174854628,0.9741653677356935,0.0005754153935851797,0.29686074371653404,9.092243674019933,715816960.9999468,5592320.999999389,0.0005754153935851797,0.9629825543498757,0.00096155236781248,0.4457587514126904,8.501665621385511,715816960.9999582,5592320.999999391,0.00096155236781248,0.9822835839083813,0.0005648018574698571,0.2899473278632321,9.127297449287466,715816960.9999253,5592321.000000439,0.0005648018574698571,0.9592416339400541
Fries-Train (107).jpeg,0.0026244721219554697,0.5575581193513321,7.765156518495161,715816960.9999211,5592320.999998861,0.0026244721219554697,0.9536489652817307,0.001855436726796571,0.47155933992329785,8.102608249384556,715816961.0000684,5592320.999998929,0.001855436726796571,0.9305285699490206,0.002532205004522492,0.5666682503530648,7.734108169135867,715816961.0000225,5592321.000001027,0.002532205004522492,0.9648815349104284,0.0018861493561858921,0.46998566144218923,8.12375549219699,715816961.0000833,5592321.0000016885,0.0018861493561858921,0.9259421709312705
Hot Dog - Train (1).jpeg,0.0029692780093444997,0.46978097082746834,7.8204541099734355,715816961.000133,5592321.000000107,0.0029692780093444997,0.9837977273977814,0.0025036655396258834,0.4511637707824637,7.877346321515152,715816960.9999046,5592320.999999585,0.0025036655396258834,0.9874204150474978,0.003391111277136729,0.5126135946160801,7.710986835341753,715816961.0001129,5592320.999999229,0.003391111277136729,0.9869587207344991,0.002206971307590445,0.4116677224083548,8.138929528778542,715816960.99982,5592321.000000217,0.002206971307590445,0.9679373055498867
Hot Dog - Train (1).jpg,0.0019758254218425037,0.6202350290758708,7.181618614717598,715816961.0000695,5592320.999999331,0.0019758254218425037,0.9986110750780905,0.0014338247952773034,0.5339139773446024,7.524538142830124,715816961.0000737,5592321.000000364,0.0014338247952773034,0.9976050584542997,0.002043476457874952,0.6174037640938048,7.173379965317015,715816961.0000359,5592321.000000224,0.002043476457874952,0.9990358284068015,0.0014806696392490643,0.5560155806146341,7.4085982533236034,715816961.000067,5592321.000000853,0.0014806696392490643,0.9982693402827052
Hot Dog - Train (1).png,0.00044455940130661936,0.437251238991525,8.185607693221128,715816961.0000975,5592320.999999636,0.00044455940130661936,0.9971596610627422,0.00033735991107379385,0.3764469297634801,8.463239123738232,715816961.0001118,5592320.9999999935,0.00033735991107379385,0.9949075804782812,0.0004662339268535578,0.4509121137115,8.142668458876864,715816961.0000838,5592320.999999013,0.0004662339268535578,0.9972008880493496,0.0003332159008325041,0.37383622749069595,8.474787613073257,715816961.0001162,5592321.000000258,0.0003332159008325041,0.9949217116568894
Hot Dog - Train (10).jpeg,0.0003021392945237727,0.1888310376499859,9.627342898187326,715816961.000136,5592320.99999913,0.0003021392945237727,0.9433848192315979,0.00018224782477865357,0.1430005506894067,9.935381673206718,715816961.0002246,5592321.0000009835,0.00018224782477865357,0.8915648548742814,0.0002931530819764355,0.18645670043786614,9.637589854935122,715816961.0000778,5592320.999998733,0.0002931530819764355,0.9422293719806918,0.00020572656582878117,0.15293903263632694,9.848313535771466,715816961.0001955,5592321.000002724,0.00020572656582878117,0.9137326243754523
Hot Dog - Train (10).jpg,0.001131558680600591,0.4261495625998847,8.384748470084894,715816960.9999652,5592320.999999273,0.001131558680600591,0.9953394347018524,0.0008300766769247157,0.3226705217923864,8.823951698428933,715816960.999955,5592320.999999545,0.0008300766769247157,0.9906264665786394,0.001015333709177845,0.364606702105257,8.596695239847964,715816960.9999704,5592320.999999968,0.001015333709177845,0.9944197217542787,0.0008152172353871792,0.32217605635260743,8.83123069199377,715816960.9999493,5592320.999999857,0.0008152172353871792,0.990207293861221
Hot Dog - Train (10).png,0.07878136241946351,0.5961535240646402,6.680646444102312,715816961.0001467,5592321.000001139,0.07878136241946351,0.9641809167830983,0.07633181694422789,0.5712070857295801,6.836224767677256,715816960.9998349,5592320.999997737,0.07633181694422789,0.9409498353278076,0.07810874356564651,0.644697960046466,6.511806964448733,715816961.0002589,5592320.999998201,0.07810874356564651,0.9633861590378907,0.07630024923613335,0.5562136679035304,6.923716664084543,715816960.9998406,5592320.999999837,0.07630024923613335,0.9353483233724762
Hot Dog - Train (100).jpeg,0.06267641393845745,0.6957693634957635,5.355571943911843,715816961.0000411,5592321.000000328,0.06267641393845745,0.9873414223193597,0.0573830400876172,0.6891798986498018,5.419826134410858,715816961.0000337,5592320.999999937,0.0573830400876172,0.989724053637928,0.06310283308403387,0.7033362400944198,5.325243362996193,715816961.0000167,5592321.000000155,0.06310283308403387,0.9886775228588383,0.05707131932144314,0.6581108555214743,5.586844228173245,715816961.0000815,5592321.000001167,0.05707131932144314,0.9726790755536151
Hot Dog - Train (100).jpg,0.0003328082463210988,0.22314668456173212,9.509078214685369,715816961.000009,5592321.000002466,0.0003328082463210988,0.9637118379601527,0.00024048930848211467,0.19041865681275874,9.718849516572636,715816961.0000017,5592320.999999445,0.00024048930848211467,0.9448260515220044,0.0003079592771468,0.2239624956706308,9.511376010498278,715816961.0000025,5592321.000001139,0.0003079592771468,0.9633836278842458,0.00022266271478040865,0.18571457807756986,9.759679254441838,715816960.9999999,5592320.99999979,0.00022266271478040865,0.9382614457032199
